CTD,20180202CCHSIO
# SHIP: Ronald H. Brown
# Cruise: P18
# DATES: 20161119 to 20170203
# Region: SE Pacific on 110W and 103W
# Ports: San Diego to Easter Island,  Easter Island to Punta Arenas
# Chief Scientist: Leg1: Brendan Carter/PMOEL; Leg2: Rolf Sonnerup/JISAO 
# CTDO: Who - G.Johnson,M.Barringer; Status - final
# Transmissometer (CTDXMISS): Who - W.Gardner, TAMU; Status - final
#        Instrument: Wetlabs C-Star Transmissometer, SN:CST1830DR
# FLBB (CTDFLUOR,CTDBBP700RAW): Who - E.Boss, UMaine; Status - final
#        Instrument: Wetlabs FLBBRTD, SN:3698
#
# Following American Geophysical Union recommendations, the data should be
# cited as: "data provider(s), cruise name or cruise ID, data file name(s),
# CLIVAR and Carbon Hydrographic Data Office, La Jolla, CA, USA, and data
# file date." For further information, please contact one of the parties
# listed above or cchdo@ucsd.edu. Users are also requested to acknowledge
# the NSF/NOAA-funded U.S. Repeat Hydrography Program in publications resulting
# from their use.
# 
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# CTDFLUOR: Changed parameter name from CTDSTIMF to CTDFLUOR
# DEPTH: rounded float value to nearest integer
# Original file name: p18_0031_ct1.csv 
# CTD,20170628PMELNOAAKEM - Previous Time Stamp. Previous comments below. 
#    CODE:  ctd_to_csv.m KEM 6/28/17
#    SUMFILE_NAME:  p18_kem.sum 6/28/17
#    CTDFILE_NAME:  rh10031.ctd
#    DEPTH_TYPE:  CORR
#    EVENT_CODE:  BO
NUMBER_HEADERS = 10
EXPOCODE = 33RO20161119
SECT_ID = P18
STNNBR = 3
CASTNO = 1
DATE = 20161124
TIME = 2137
LATITUDE = 22.7705
LONGITUDE = -110
DEPTH = 1256
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDXMISS,CTDFLUOR,CTDBBP700RAW
       119,2,   13.3515,2,    33.953,2,       107,2,        22,     4.693,      -999,      -999
       120,2,   13.3453,2,   33.9569,2,     106.3,2,        27,     4.694,      -999,      -999
       121,2,   13.3338,2,   33.9614,2,     105.3,2,        49,     4.694,      -999,      -999
       122,2,   13.3276,2,   33.9659,2,       104,2,        47,     4.694,      -999,      -999
       123,2,   13.3281,2,   33.9677,2,     103.2,2,        30,     4.694,      -999,      -999
       124,2,   13.3253,2,   33.9696,2,     102.9,2,        24,     4.695,      -999,      -999
       125,2,   13.3158,2,   33.9736,2,     102.6,2,        24,     4.694,      -999,      -999
       126,2,   13.3001,2,   33.9793,2,     102.1,2,        28,     4.695,      -999,      -999
       127,2,   13.2735,2,   33.9925,2,     101.2,2,        39,     4.695,      -999,      -999
       128,2,    13.256,2,     34.01,2,      99.5,2,        35,     4.695,      -999,      -999
       129,2,   13.2503,2,   34.0237,2,      97.3,2,        24,     4.696,      -999,      -999
       130,2,   13.2411,2,    34.062,2,        95,2,        24,     4.696,      -999,      -999
       131,2,    13.345,2,   34.1514,2,      92.2,2,        31,     4.697,      -999,      -999
       132,2,   13.3495,2,   34.1786,2,      86.6,2,        45,     4.698,      -999,      -999
       133,2,   13.3412,2,   34.1996,2,      78.1,2,        35,     4.699,      -999,      -999
       134,2,   13.2781,2,   34.2077,2,      74.2,2,        29,     4.699,      -999,      -999
       135,2,   13.2664,2,     34.24,2,      72.1,2,        27,     4.699,      -999,      -999
       136,2,   13.2426,2,   34.2374,2,      70.9,2,        28,     4.699,      -999,      -999
       137,2,   13.2249,2,   34.2341,2,      69.2,2,        28,       4.7,      -999,      -999
       138,2,   13.1707,2,   34.2264,2,      68.1,2,        28,     4.699,      -999,      -999
       139,2,   13.0038,2,   34.2112,2,      68.1,2,        34,     4.699,      -999,      -999
       140,2,   12.8655,2,   34.2046,2,      68.8,2,        53,       4.7,      -999,      -999
       141,2,   12.7871,2,   34.2022,2,      69.7,2,        29,       4.7,      -999,      -999
       142,2,   12.7784,2,   34.2023,2,      69.8,2,        23,       4.7,      -999,      -999
       143,2,   12.7681,2,   34.2031,2,      69.7,2,        22,     4.701,      -999,      -999
       144,2,   12.7503,2,   34.2054,2,      69.5,2,        26,       4.7,      -999,      -999
       145,2,   12.7384,2,   34.2091,2,      69.2,2,        32,     4.701,      -999,      -999
       146,2,    12.731,2,   34.2138,2,      68.8,2,        34,     4.701,      -999,      -999
       147,2,   12.7207,2,   34.2169,2,      68.2,2,        38,     4.701,      -999,      -999
       148,2,   12.7225,2,   34.2242,2,      67.4,2,        41,     4.701,      -999,      -999
       149,2,   12.7201,2,   34.2269,2,      66.7,2,        30,     4.701,      -999,      -999
       150,2,   12.7179,2,   34.2308,2,      66.2,2,        29,     4.701,      -999,      -999
       151,2,   12.7147,2,   34.2364,2,      65.7,2,        29,     4.701,      -999,      -999
       152,2,    12.711,2,   34.2415,2,      65.2,2,        27,     4.701,      -999,      -999
       153,2,   12.6999,2,   34.2494,2,      64.4,2,        26,     4.702,      -999,      -999
       154,2,   12.7212,2,   34.2813,2,      63.2,2,        28,     4.702,      -999,      -999
       155,2,   12.7462,2,    34.306,2,      61.5,2,        35,     4.701,      -999,      -999
       156,2,   12.7625,2,   34.3357,2,      58.1,2,        42,     4.701,      -999,      -999
       157,2,   12.7777,2,   34.3655,2,      54.5,2,        33,       4.7,      -999,      -999
       158,2,   12.7235,2,   34.3691,2,      51.7,2,        31,     4.701,      -999,      -999
       159,2,   12.6406,2,   34.3626,2,      49.2,2,        33,     4.701,      -999,      -999
       160,2,   12.6178,2,   34.3613,2,        48,2,        31,     4.701,      -999,      -999
       161,2,   12.5904,2,   34.3589,2,        48,2,        26,     4.702,      -999,      -999
       162,2,   12.5623,2,   34.3591,2,      48.2,2,        23,     4.702,      -999,      -999
       163,2,   12.5102,2,   34.3587,2,      48.4,2,        25,     4.702,      -999,      -999
       164,2,   12.4645,2,   34.3611,2,      48.4,2,        43,     4.703,      -999,      -999
       165,2,   12.4598,2,   34.3634,2,      47.8,2,        47,     4.703,      -999,      -999
       166,2,   12.4123,2,   34.3544,2,      47.6,2,        24,     4.704,      -999,      -999
       167,2,   12.3244,2,   34.3427,2,      47.5,2,        19,     4.704,      -999,      -999
       168,2,   12.3535,2,   34.3653,2,      47.4,2,        21,     4.704,      -999,      -999
       169,2,   12.3173,2,   34.3664,2,      47.7,2,        30,     4.703,      -999,      -999
       170,2,   12.2838,2,   34.3656,2,      47.2,2,        41,     4.704,      -999,      -999
       171,2,   12.3589,2,   34.4071,2,      45.6,2,        35,     4.704,      -999,      -999
       172,2,   12.5378,2,   34.4772,2,      43.9,2,        36,     4.705,      -999,      -999
       173,2,   12.6921,2,   34.5331,2,      40.1,2,        34,     4.704,      -999,      -999
       174,2,   12.7238,2,   34.5524,2,      34.9,2,        32,     4.703,      -999,      -999
       175,2,   12.8027,2,   34.5818,2,      30.4,2,        28,     4.702,      -999,      -999
       176,2,   12.8887,2,   34.6157,2,      27.8,2,        26,     4.701,      -999,      -999
       177,2,   12.9007,2,    34.626,2,      25.8,2,        30,     4.699,      -999,      -999
       178,2,   12.8589,2,   34.6243,2,      23.7,2,        32,     4.698,      -999,      -999
       179,2,   12.8185,2,   34.6167,2,        22,2,        27,     4.697,      -999,      -999
       180,2,   12.7715,2,   34.6313,2,      21.2,2,        27,     4.698,      -999,      -999
       181,2,   12.7149,2,   34.6453,2,      20.8,2,        30,     4.695,      -999,      -999
       182,2,   12.6193,2,   34.6513,2,      19.5,2,        48,     4.692,      -999,      -999
       183,2,   12.5816,2,   34.6528,2,      16.5,2,        44,     4.693,      -999,      -999
       184,2,   12.4863,2,   34.6581,2,      15.6,2,        25,     4.693,      -999,      -999
       185,2,   12.4273,2,   34.6625,2,      15.2,2,        23,     4.695,      -999,      -999
       186,2,   12.4177,2,   34.6638,2,      14.9,2,        26,     4.696,      -999,      -999
       187,2,    12.414,2,   34.6642,2,      14.4,2,        27,     4.696,      -999,      -999
       188,2,   12.4058,2,   34.6649,2,        14,2,        29,     4.696,      -999,      -999
       189,2,   12.3911,2,   34.6659,2,      13.7,2,        33,     4.696,      -999,      -999
       190,2,    12.383,2,   34.6667,2,      13.5,2,        38,     4.697,      -999,      -999
       191,2,   12.3763,2,   34.6673,2,      13.3,2,        39,     4.696,      -999,      -999
       192,2,   12.3605,2,   34.6684,2,      13.2,2,        30,     4.697,      -999,      -999
       193,2,   12.3403,2,    34.669,2,        13,2,        28,     4.697,      -999,      -999
       194,2,   12.3085,2,   34.6701,2,        13,2,        31,     4.697,      -999,      -999
       195,2,   12.3021,2,   34.6703,2,      12.9,2,        28,     4.698,      -999,      -999
       196,2,   12.3013,2,   34.6704,2,      12.7,2,        30,     4.699,      -999,      -999
       197,2,   12.2971,2,   34.6701,2,      12.5,2,        35,     4.699,      -999,      -999
       198,2,   12.2914,2,   34.6694,2,      12.4,2,        32,       4.7,      -999,      -999
       199,2,   12.2888,2,   34.6692,2,      12.5,2,        30,       4.7,      -999,      -999
       200,2,   12.2877,2,   34.6693,2,      12.5,2,        34,       4.7,      -999,      -999
       201,2,   12.2869,2,   34.6692,2,      12.5,2,        39,     4.701,      -999,      -999
       202,2,   12.2818,2,     34.67,2,      12.5,2,        28,       4.7,      -999,      -999
       203,2,   12.2744,2,   34.6697,2,      12.5,2,        23,     4.701,      -999,      -999
       204,2,    12.251,2,   34.6699,2,      12.3,2,        27,       4.7,      -999,      -999
       205,2,   12.2281,2,   34.6715,2,      12.2,2,        39,     4.701,      -999,      -999
       206,2,    12.215,2,   34.6721,2,        12,2,        33,       4.7,      -999,      -999
       207,2,   12.1861,2,   34.6713,2,      11.8,2,        27,       4.7,      -999,      -999
       208,2,   12.1691,2,   34.6703,2,      11.6,2,        28,       4.7,      -999,      -999
       209,2,   12.1384,2,   34.6707,2,      11.4,2,        33,     4.699,      -999,      -999
       210,2,   12.1236,2,   34.6707,2,      11.4,2,        37,     4.701,      -999,      -999
       211,2,   12.1129,2,   34.6704,2,      11.3,2,        35,     4.701,      -999,      -999
       212,2,   12.1072,2,   34.6701,2,      11.2,2,        32,     4.701,      -999,      -999
       213,2,    12.045,2,   34.6631,2,      11.3,2,        30,     4.701,      -999,      -999
       214,2,    11.965,2,   34.6541,2,      11.3,2,        29,     4.701,      -999,      -999
       215,2,   11.9322,2,   34.6496,2,      11.5,2,        28,     4.701,      -999,      -999
       216,2,   11.9106,2,   34.6505,2,      11.7,2,        29,     4.702,      -999,      -999
       217,2,   11.8629,2,   34.6525,2,      11.9,2,        31,     4.703,      -999,      -999
       218,2,   11.8349,2,   34.6522,2,      11.9,2,        40,     4.703,      -999,      -999
       219,2,   11.8232,2,   34.6526,2,      11.5,2,        34,     4.703,      -999,      -999
       220,2,   11.8215,2,   34.6558,2,      11.2,2,        25,     4.703,      -999,      -999
       221,2,   11.8208,2,   34.6573,2,        11,2,        25,     4.703,      -999,      -999
       222,2,   11.8184,2,   34.6576,2,      10.8,2,        29,     4.703,      -999,      -999
       223,2,   11.7896,2,    34.655,2,      10.5,2,        41,     4.703,      -999,      -999
       224,2,   11.7268,2,   34.6521,2,      10.2,2,        41,     4.704,      -999,      -999
       225,2,   11.7246,2,   34.6539,2,      10.1,2,        29,     4.705,      -999,      -999
       226,2,   11.7237,2,   34.6547,2,        10,2,        25,     4.704,      -999,      -999
       227,2,    11.712,2,    34.656,2,       9.9,2,        28,     4.704,      -999,      -999
       228,2,   11.7108,2,   34.6576,2,       9.8,2,        32,     4.703,      -999,      -999
       229,2,   11.7154,2,   34.6598,2,       9.6,2,        33,     4.704,      -999,      -999
       230,2,   11.7189,2,   34.6626,2,       9.4,2,        31,     4.703,      -999,      -999
       231,2,   11.7112,2,   34.6621,2,       9.3,2,        21,     4.704,      -999,      -999
       232,2,   11.7056,2,   34.6618,2,       9.2,2,        25,     4.703,      -999,      -999
       233,2,   11.6989,2,   34.6601,2,       9.1,2,        21,     4.704,      -999,      -999
       234,2,   11.6636,2,   34.6565,2,       9.2,2,        20,     4.705,      -999,      -999
       235,2,   11.6495,2,   34.6563,2,       9.2,2,        22,     4.705,      -999,      -999
       236,2,     11.64,2,   34.6565,2,       9.2,2,        24,     4.705,      -999,      -999
       237,2,   11.6261,2,   34.6569,2,       9.2,2,        29,     4.705,      -999,      -999
       238,2,   11.6028,2,   34.6567,2,       9.1,2,        34,     4.705,      -999,      -999
       239,2,   11.5832,2,   34.6567,2,       8.9,2,        28,     4.705,      -999,      -999
       240,2,   11.5793,2,   34.6615,2,       8.7,2,        22,     4.705,      -999,      -999
       241,2,   11.5841,2,   34.6662,2,       8.5,2,        20,     4.705,      -999,      -999
       242,2,   11.5947,2,   34.6707,2,       8.3,2,        19,     4.704,      -999,      -999
       243,2,   11.5878,2,   34.6706,2,       8.2,2,        22,     4.703,      -999,      -999
       244,2,   11.5813,2,   34.6707,2,       7.9,2,        22,     4.703,      -999,      -999
       245,2,   11.5783,2,   34.6711,2,       7.7,2,        23,     4.703,      -999,      -999
       246,2,   11.5786,2,   34.6713,2,       7.5,2,        24,     4.703,      -999,      -999
       247,2,   11.5718,2,   34.6707,2,       7.4,2,        31,     4.703,      -999,      -999
       248,2,   11.5568,2,     34.67,2,       7.4,2,        35,     4.703,      -999,      -999
       249,2,   11.5174,2,   34.6651,2,       7.4,2,        23,     4.703,      -999,      -999
       250,2,   11.4707,2,   34.6556,2,       7.5,2,        18,     4.703,      -999,      -999
       251,2,   11.3373,2,    34.634,2,       7.8,2,        17,     4.704,      -999,      -999
       252,2,    11.269,2,   34.6227,2,       8.1,2,        18,     4.704,      -999,      -999
       253,2,   11.0977,2,   34.5927,2,       8.7,2,        23,     4.705,      -999,      -999
       254,2,   10.9465,2,   34.5711,2,       9.9,2,        33,     4.705,      -999,      -999
       255,2,    10.874,2,   34.5658,2,      11.8,2,        32,     4.705,      -999,      -999
       256,2,   10.8678,2,    34.566,2,      13.5,2,        25,     4.706,      -999,      -999
       257,2,   10.8625,2,   34.5653,2,      14.2,2,        21,     4.706,      -999,      -999
       258,2,   10.8552,2,   34.5643,2,      14.3,2,        23,     4.706,      -999,      -999
       259,2,   10.8513,2,   34.5643,2,      14.2,2,        27,     4.706,      -999,      -999
       260,2,   10.8493,2,   34.5649,2,      14.1,2,        26,     4.706,      -999,      -999
       261,2,   10.8496,2,   34.5652,2,        14,2,        23,     4.706,      -999,      -999
       262,2,   10.8482,2,   34.5656,2,        14,2,        23,     4.706,      -999,      -999
       263,2,   10.8485,2,   34.5657,2,      13.9,2,        22,     4.706,      -999,      -999
       264,2,   10.8443,2,   34.5655,2,      13.9,2,        19,     4.707,      -999,      -999
       265,2,   10.8396,2,   34.5647,2,      13.9,2,        18,     4.707,      -999,      -999
       266,2,   10.8306,2,   34.5641,2,      13.9,2,        19,     4.707,      -999,      -999
       267,2,   10.8227,2,   34.5634,2,      13.9,2,        24,     4.707,      -999,      -999
       268,2,   10.8026,2,   34.5647,2,      13.9,2,        43,     4.707,      -999,      -999
       269,2,   10.8038,2,    34.568,2,      13.9,2,        36,     4.707,      -999,      -999
       270,2,    10.793,2,   34.5682,2,      13.7,2,        24,     4.707,      -999,      -999
       271,2,   10.7879,2,   34.5659,2,      13.7,2,        20,     4.707,      -999,      -999
       272,2,   10.7365,2,   34.5549,2,      13.7,2,        18,     4.707,      -999,      -999
       273,2,   10.5722,2,   34.5265,2,        14,2,        19,     4.707,      -999,      -999
       274,2,   10.5252,2,   34.5205,2,      14.4,2,        20,     4.706,      -999,      -999
